report_date,source_file,status,error_message,run_at
2020-01-01,SOKUHO 2020.01.01.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.01.pdf: ALL 17 STORES, Rainbow Market, Temporary Stall",2026-03-30 12:09:10.740000
2020-01-02,SOKUHO 2020.01.02.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.02.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:11.073333
2020-01-03,SOKUHO 2020.01.03.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.03.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:11.403333
2020-01-04,SOKUHO 2020.01.04.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.04.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:11.716666
2020-01-05,SOKUHO 2020.01.05.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.05.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:12.033333
2020-01-06,SOKUHO 2020.01.06.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.06.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:12.383333
2020-01-07,SOKUHO 2020.01.07.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.07.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:12.713333
2020-01-08,SOKUHO 2020.01.08.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.08.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:13.033333
2020-01-09,SOKUHO 2020.01.09.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.09.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:13.370000
2020-01-10,SOKUHO 2020.01.10.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.10.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:13.713333
2020-01-11,SOKUHO 2020.01.11.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.11.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:14.060000
2020-01-12,SOKUHO 2020.01.12.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.12.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:14.393333
2020-01-13,SOKUHO 2020.01.13.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.13.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:14.710000
2020-01-14,SOKUHO 2020.01.14.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.14.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:15.050000
2020-01-15,SOKUHO 2020.01.15.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.15.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:15.376666
2020-01-16,SOKUHO 2020.01.16.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.16.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:15.723333
2020-01-17,SOKUHO 2020.01.17.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.17.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:16.030000
2020-01-18,SOKUHO 2020.01.18.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.18.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:16.370000
2020-01-19,SOKUHO 2020.01.19.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.19.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:16.720000
2020-01-20,SOKUHO 2020.01.20.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.20.pdf: Rainbow Market, Temporary Stall",2026-03-30 12:09:17.090000
2020-01-21,SOKUHO 2020.01.21.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.21.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:17.433333
2020-01-22,SOKUHO 2020.01.22.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.22.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:17.800000
2020-01-23,SOKUHO 2020.01.23.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.23.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:18.163333
2020-01-24,SOKUHO 2020.01.24.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.24.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:18.540000
2020-01-25,SOKUHO 2020.01.25.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.25.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:18.876666
2020-01-26,SOKUHO 2020.01.26.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.26.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:19.236666
2020-01-27,SOKUHO 2020.01.27.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.27.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:19.590000
2020-01-28,SOKUHO 2020.01.28.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.28.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:19.960000
2020-01-29,SOKUHO 2020.01.29.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.29.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:20.303333
2020-01-30,SOKUHO 2020.01.30.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.30.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:20.646666
2020-01-31,SOKUHO 2020.01.31.pdf,SKIPPED,"Unknown stores in SOKUHO 2020.01.31.pdf: Rainbow Market, Taipei 101, Temporary Stall",2026-03-30 12:09:21.066666
2020-02-12,SOKUHO 2020.02.12.pdf,SKIPPED,Unknown stores in SOKUHO 2020.02.12.pdf: Taipei 101,2026-03-30 12:09:25.880000
2020-02-13,SOKUHO 2020.02.13.pdf,SKIPPED,Unknown stores in SOKUHO 2020.02.13.pdf: Taipei 101,2026-03-30 12:09:26.216666
2020-02-14,SOKUHO 2020.02.14.pdf,SKIPPED,Unknown stores in SOKUHO 2020.02.14.pdf: Taipei 101,2026-03-30 12:09:26.570000
2020-02-15,SOKUHO 2020.02.15.pdf,SKIPPED,Unknown stores in SOKUHO 2020.02.15.pdf: Taipei 101,2026-03-30 12:09:26.893333
2020-02-16,SOKUHO 2020.02.16.pdf,SKIPPED,Unknown stores in SOKUHO 2020.02.16.pdf: Taipei 101,2026-03-30 12:09:27.206666
2020-02-17,SOKUHO 2020.02.17.pdf,SKIPPED,Unknown stores in SOKUHO 2020.02.17.pdf: Taipei 101,2026-03-30 12:09:27.573333
2020-02-18,SOKUHO 2020.02.18.pdf,SKIPPED,Unknown stores in SOKUHO 2020.02.18.pdf: Taipei 101,2026-03-30 12:09:27.933333
2020-02-19,SOKUHO 2020.02.19.pdf,SKIPPED,Unknown stores in SOKUHO 2020.02.19.pdf: Taipei 101,2026-03-30 12:09:28.266666
2020-02-20,SOKUHO 2020.02.20.pdf,SKIPPED,Unknown stores in SOKUHO 2020.02.20.pdf: Taipei 101,2026-03-30 12:09:28.603333
2020-02-21,SOKUHO 2020.02.21.pdf,SKIPPED,Unknown stores in SOKUHO 2020.02.21.pdf: Taipei 101,2026-03-30 12:09:28.940000
2020-02-22,SOKUHO 2020.02.22.pdf,SKIPPED,Unknown stores in SOKUHO 2020.02.22.pdf: Taipei 101,2026-03-30 12:09:29.300000
2020-02-23,SOKUHO 2020.02.23.pdf,SKIPPED,Unknown stores in SOKUHO 2020.02.23.pdf: Taipei 101,2026-03-30 12:09:29.660000
2020-02-24,SOKUHO 2020.02.24.pdf,SKIPPED,Unknown stores in SOKUHO 2020.02.24.pdf: Taipei 101,2026-03-30 12:09:29.983333
2020-02-25,SOKUHO 2020.02.25.pdf,SKIPPED,Unknown stores in SOKUHO 2020.02.25.pdf: Taipei 101,2026-03-30 12:09:30.320000
2020-02-26,SOKUHO 2020.02.26.pdf,SKIPPED,Unknown stores in SOKUHO 2020.02.26.pdf: Taipei 101,2026-03-30 12:09:30.673333
2020-02-27,SOKUHO 2020.02.27.pdf,SKIPPED,Unknown stores in SOKUHO 2020.02.27.pdf: Taipei 101,2026-03-30 12:09:31.033333
2020-02-28,SOKUHO 2020.02.28.pdf,SKIPPED,Unknown stores in SOKUHO 2020.02.28.pdf: Taipei 101,2026-03-30 12:09:31.353333
2020-02-29,SOKUHO 2020.02.29.pdf,SKIPPED,Unknown stores in SOKUHO 2020.02.29.pdf: Taipei 101,2026-03-30 12:09:31.683333
