store_name,record_type,report_date,sales_result,sales_budget_pct,sales_yoy_pct,customer_count,customer_yoy_pct,unit_price,unit_price_yoy_pct,ft_expense,ft_budget_pct,pt_expense,pt_budget_pct,total_personnel_expense,total_personnel_budget_pct,transfer_amount,sales_incl_result,sales_incl_budget_pct,sales_incl_yoy_pct,source_file
A4 Mitsukoshi,DAILY,2025-12-31,18687,28.69,32.12,32,68.09,584.0,47.18,3312,57.47,0,0.0,3312,57.47,0.0,18687.0,28.69,32.12,SOKUHO 2025.12.31.pdf
A4 Mitsukoshi,MTD,2025-12-31,2099776,62.14,69.58,1121,90.62,1873.0,76.78,102672,0.0,14995,0.0,117667,65.86,0.0,2099776.0,62.14,69.58,SOKUHO 2025.12.31.pdf
Ban-Ciao Far Eastern,DAILY,2025-12-31,24447,107.5,103.11,26,60.47,940.0,170.53,4350,81.63,1646,148.82,5996,93.18,0.0,24447.0,107.5,103.11,SOKUHO 2025.12.31.pdf
Ban-Ciao Far Eastern,MTD,2025-12-31,1115365,99.86,95.79,985,81.47,1132.0,117.57,134850,81.63,12755,37.19,147605,73.99,107693.0,1223058.0,109.51,105.03,SOKUHO 2025.12.31.pdf
BR4 Fuxing SOGO,DAILY,2025-12-31,61533,132.42,110.43,165,115.38,373.0,95.71,8857,73.32,1622,25.61,10479,56.91,0.0,61533.0,132.42,110.43,SOKUHO 2025.12.31.pdf
BR4 Fuxing SOGO,MTD,2025-12-31,2654143,132.43,110.44,4430,95.21,599.0,116.0,274567,73.32,91554,46.63,366121,64.14,218852.0,2872995.0,143.35,119.54,SOKUHO 2025.12.31.pdf
CS Far Eastern,DAILY,2025-12-31,26759,197.53,186.03,51,85.0,525.0,218.86,1485,20.87,1622,61.63,3107,31.87,0.0,26759.0,197.53,186.03,SOKUHO 2025.12.31.pdf
CS Far Eastern,MTD,2025-12-31,707120,85.92,80.94,1209,60.12,585.0,134.63,46035,20.86,68510,83.95,114545,37.9,0.0,707120.0,85.92,80.94,SOKUHO 2025.12.31.pdf
Nan-Shi Mitsukoshi,DAILY,2025-12-31,34213,30.03,31.15,55,68.75,622.0,45.31,4731,89.55,1301,50.15,6032,76.58,0.0,34213.0,30.03,31.15,SOKUHO 2025.12.31.pdf
Nan-Shi Mitsukoshi,MTD,2025-12-31,1962517,68.31,70.85,1548,62.93,1268.0,112.59,146661,89.54,53050,65.96,199711,81.78,147553.0,2110070.0,73.44,76.18,SOKUHO 2025.12.31.pdf
Takashimaya,DAILY,2025-12-31,73953,192.28,228.03,97,94.17,762.0,242.14,8369,65.44,2457,0.0,10826,84.66,0.0,73953.0,192.28,228.03,SOKUHO 2025.12.31.pdf
Takashimaya,MTD,2025-12-31,1365583,93.94,111.4,3015,114.94,453.0,96.91,259439,65.44,50677,0.0,310116,78.23,0.0,1365583.0,93.94,111.4,SOKUHO 2025.12.31.pdf
Tian-Mu Sogo,DAILY,2025-12-31,13475,3.25,3.58,37,57.81,364.0,6.2,2972,81.9,2497,116.9,5469,94.87,0.0,13475.0,3.25,3.58,SOKUHO 2025.12.31.pdf
Tian-Mu Sogo,MTD,2025-12-31,1484434,46.22,50.93,1350,93.56,1100.0,54.44,92132,81.9,64642,97.6,156774,87.72,0.0,1484434.0,46.22,50.93,SOKUHO 2025.12.31.pdf
Zhong-Xiao Sogo,DAILY,2025-12-31,157827,200.84,285.63,229,147.74,689.0,193.33,11452,96.44,1761,90.49,13213,95.6,0.0,157827.0,200.84,285.63,SOKUHO 2025.12.31.pdf
Zhong-Xiao Sogo,MTD,2025-12-31,2820729,70.17,99.8,5932,113.16,476.0,88.19,355012,96.44,58887,97.63,413899,96.6,117017.0,2937746.0,73.08,103.94,SOKUHO 2025.12.31.pdf
Breeze Nanjing,DAILY,2025-12-31,19786,88.07,99.78,43,102.38,460.0,97.46,2964,64.18,0,0.0,2964,64.18,0.0,19786.0,88.07,99.78,SOKUHO 2025.12.31.pdf
Breeze Nanjing,MTD,2025-12-31,1604179,83.28,94.36,1284,88.67,1249.0,106.41,91884,64.18,31884,0.0,123768,86.45,0.0,1604179.0,83.28,94.36,SOKUHO 2025.12.31.pdf
Tian-Mu Mitsukoshi,DAILY,2025-12-31,4194,66.93,100.46,5,38.46,839.0,261.18,1254,92.41,2602,148.26,3856,123.91,0.0,4194.0,66.93,100.46,SOKUHO 2025.12.31.pdf
Tian-Mu Mitsukoshi,MTD,2025-12-31,227954,65.01,97.59,243,93.82,938.0,104.02,38874,92.38,51945,95.48,90819,94.13,0.0,227954.0,65.01,97.59,SOKUHO 2025.12.31.pdf
Taipei Area,DAILY,2025-12-31,434874,52.9,58.02,740,98.67,588.0,58.8,49746,71.23,15508,83.82,65254,73.87,0.0,434874.0,52.9,58.02,SOKUHO 2025.12.31.pdf
Taipei Area,MTD,2025-12-31,16041800,75.82,83.86,21117,93.5,760.0,89.69,1542126,71.23,498899,86.98,2041025,74.53,591115.0,16632915.0,78.61,86.95,SOKUHO 2025.12.31.pdf
CL SOGO B1,DAILY,2025-12-31,13277,46.4,63.07,27,117.39,492.0,53.73,4216,79.46,0,0.0,4216,64.22,0.0,13277.0,46.4,63.07,SOKUHO 2025.12.31.pdf
CL SOGO B1,MTD,2025-12-31,629384,47.4,64.41,680,87.63,926.0,73.5,130696,79.46,6692,17.15,137388,67.51,467422.0,1096806.0,82.61,112.25,SOKUHO 2025.12.31.pdf
Dome Hanshin,DAILY,2025-12-31,38247,61.01,48.25,48,70.59,797.0,68.35,4407,72.07,1361,79.27,5768,73.65,0.0,38247.0,61.01,48.25,SOKUHO 2025.12.31.pdf
Dome Hanshin,MTD,2025-12-31,1408153,104.31,82.49,1633,89.09,862.0,92.59,136617,72.07,42390,79.65,179007,73.73,157687.0,1565840.0,115.99,91.73,SOKUHO 2025.12.31.pdf
Hsin-Chu Big City,DAILY,2025-12-31,29027,71.91,65.75,33,48.53,880.0,135.49,9995,213.66,1349,0.0,11344,242.5,0.0,29027.0,71.91,65.75,SOKUHO 2025.12.31.pdf
Hsin-Chu Big City,MTD,2025-12-31,1384136,96.46,87.14,1080,78.37,1282.0,111.19,312247,215.31,8267,0.0,320514,221.01,,1294042.0,90.18,81.47,SOKUHO 2025.12.31.pdf
